# Group1,N1,Group2,N2,t-stat,p-value
consecutive,4995,decreased,2277,6.729206381744519,1.83564165342309e-11
consecutive,4995,increased,2355,-6.93126991984155,4.52457026362146e-12
decreased,2277,increased,2355,-11.623783499873419,8.323869332190048e-31
