# Group1,N1,Group2,N2,t-stat,p-value
consecutive,9990,decreased,4570,2.6675274837031795,0.007725896296157997
consecutive,9990,increased,4699,-3.0362754223778996,0.002437095544434943
decreased,4570,increased,4699,-4.9770009670875375,7.681507842357869e-07
