# Group1,N1,Group2,N2,t-stat,p-value
consecutive,29970,decreased,13753,2.828908197416331,0.0047347835991436125
consecutive,29970,increased,13979,-3.0759034064582793,0.002137689427241141
decreased,13753,increased,13979,-4.978378517801089,7.658330875572897e-07
